.metric,.estimator,.estimate,umi_cutoff,group
recall,binary,0.7491721854304636,70,CD4-22h-2e11
precision,binary,0.9868565169769989,71,CD4-22h-2e11
recall,binary,0.7458609271523179,71,CD4-22h-2e11
precision,binary,0.9870594713656388,72,CD4-22h-2e11
recall,binary,0.7419288079470199,72,CD4-22h-2e11
precision,binary,0.9870237437879624,73,CD4-22h-2e11
recall,binary,0.7398592715231788,73,CD4-22h-2e11
precision,binary,0.9870022123893806,74,CD4-22h-2e11
recall,binary,0.7386175496688742,74,CD4-22h-2e11
precision,binary,0.986969780981425,75,CD4-22h-2e11
recall,binary,0.7367549668874173,75,CD4-22h-2e11
precision,binary,0.9872257706192724,76,CD4-22h-2e11
recall,binary,0.7357201986754967,76,CD4-22h-2e11
precision,binary,0.9871794871794872,77,CD4-22h-2e11
recall,binary,0.7330298013245033,77,CD4-22h-2e11
precision,binary,0.9871220604703248,78,CD4-22h-2e11
recall,binary,0.7297185430463576,78,CD4-22h-2e11
precision,binary,0.9870895312938535,79,CD4-22h-2e11
recall,binary,0.7278559602649006,79,CD4-22h-2e11
precision,binary,0.9870495495495496,80,CD4-22h-2e11
recall,binary,0.7255794701986755,80,CD4-22h-2e11
precision,binary,0.9870093194012991,81,CD4-22h-2e11
recall,binary,0.7233029801324503,81,CD4-22h-2e11
precision,binary,0.9872485123264381,82,CD4-22h-2e11
recall,binary,0.7210264900662252,82,CD4-22h-2e11
precision,binary,0.9872231686541738,83,CD4-22h-2e11
recall,binary,0.7195778145695364,83,CD4-22h-2e11
precision,binary,0.9874822190611664,84,CD4-22h-2e11
recall,binary,0.7183360927152318,84,CD4-22h-2e11
precision,binary,0.9874536641003707,85,CD4-22h-2e11
recall,binary,0.7166804635761589,85,CD4-22h-2e11
precision,binary,0.9877072612921669,86,CD4-22h-2e11
recall,binary,0.7150248344370861,86,CD4-22h-2e11
precision,binary,0.9879725085910653,87,CD4-22h-2e11
recall,binary,0.7139900662251656,87,CD4-22h-2e11
precision,binary,0.9879414298018949,88,CD4-22h-2e11
recall,binary,0.7121274834437086,88,CD4-22h-2e11
precision,binary,0.9879171461449943,89,CD4-22h-2e11
recall,binary,0.7106788079470199,89,CD4-22h-2e11
precision,binary,0.9878927644854425,90,CD4-22h-2e11
recall,binary,0.7092301324503312,90,CD4-22h-2e11
precision,binary,0.9878752886836027,91,CD4-22h-2e11
recall,binary,0.7081953642384106,91,CD4-22h-2e11
precision,binary,0.9878472222222222,92,CD4-22h-2e11
recall,binary,0.7065397350993378,92,CD4-22h-2e11
precision,binary,0.9880986937590711,93,CD4-22h-2e11
recall,binary,0.7044701986754967,93,CD4-22h-2e11
precision,binary,0.9883720930232558,94,CD4-22h-2e11
recall,binary,0.7036423841059603,94,CD4-22h-2e11
precision,binary,0.9883347914843977,95,CD4-22h-2e11
recall,binary,0.7013658940397351,95,CD4-22h-2e11
precision,binary,0.9882938249926836,96,CD4-22h-2e11
recall,binary,0.6988824503311258,96,CD4-22h-2e11
precision,binary,0.9885630498533724,97,CD4-22h-2e11
recall,binary,0.6976407284768212,97,CD4-22h-2e11
precision,binary,0.9885294117647059,98,CD4-22h-2e11
recall,binary,0.6955711920529801,98,CD4-22h-2e11
precision,binary,0.9885091337654685,99,CD4-22h-2e11
recall,binary,0.6943294701986755,99,CD4-22h-2e11
precision,binary,0.9884853852967228,100,CD4-22h-2e11
recall,binary,0.6928807947019867,100,CD4-22h-2e11
precision,binary,0.9887573964497042,101,CD4-22h-2e11
recall,binary,0.6916390728476821,101,CD4-22h-2e11
precision,binary,0.9890207715133531,102,CD4-22h-2e11
recall,binary,0.6897764900662252,102,CD4-22h-2e11
precision,binary,0.988978254393804,103,CD4-22h-2e11
recall,binary,0.6870860927152318,103,CD4-22h-2e11
precision,binary,0.9889387144992526,104,CD4-22h-2e11
recall,binary,0.6846026490066225,104,CD4-22h-2e11
precision,binary,0.9889188379754418,105,CD4-22h-2e11
recall,binary,0.6833609271523179,105,CD4-22h-2e11
precision,binary,0.9888822115384616,106,CD4-22h-2e11
recall,binary,0.6810844370860927,106,CD4-22h-2e11
precision,binary,0.988855421686747,107,CD4-22h-2e11
recall,binary,0.6794288079470199,107,CD4-22h-2e11
precision,binary,0.9891369945684972,108,CD4-22h-2e11
recall,binary,0.6783940397350994,108,CD4-22h-2e11
precision,binary,0.9891041162227603,109,CD4-22h-2e11
recall,binary,0.6763245033112583,109,CD4-22h-2e11
precision,binary,0.9890743550834598,110,CD4-22h-2e11
recall,binary,0.6744619205298014,110,CD4-22h-2e11
precision,binary,0.9890510948905109,111,CD4-22h-2e11
recall,binary,0.6730132450331126,111,CD4-22h-2e11
precision,binary,0.9893260140286673,112,CD4-22h-2e11
recall,binary,0.6713576158940397,112,CD4-22h-2e11
precision,binary,0.9893031784841075,113,CD4-22h-2e11
recall,binary,0.6699089403973509,113,CD4-22h-2e11
precision,binary,0.989260509358699,114,CD4-22h-2e11
recall,binary,0.6672185430463576,114,CD4-22h-2e11
precision,binary,0.9892274546014158,115,CD4-22h-2e11
recall,binary,0.6651490066225165,115,CD4-22h-2e11
precision,binary,0.9895126465144972,116,CD4-22h-2e11
recall,binary,0.6639072847682119,116,CD4-22h-2e11
precision,binary,0.9894867037724181,117,CD4-22h-2e11
recall,binary,0.6622516556291391,117,CD4-22h-2e11
precision,binary,0.9894671623296158,118,CD4-22h-2e11
recall,binary,0.6610099337748344,118,CD4-22h-2e11
precision,binary,0.9894409937888199,119,CD4-22h-2e11
recall,binary,0.6593543046357616,119,CD4-22h-2e11
precision,binary,0.9894179894179894,120,CD4-22h-2e11
recall,binary,0.6579056291390728,120,CD4-22h-2e11
precision,binary,0.9893915756630265,121,CD4-22h-2e11
recall,binary,0.65625,121,CD4-22h-2e11
precision,binary,0.989358372456964,122,CD4-22h-2e11
recall,binary,0.6541804635761589,122,CD4-22h-2e11
precision,binary,0.9893316598682146,123,CD4-22h-2e11
recall,binary,0.6525248344370861,123,CD4-22h-2e11
precision,binary,0.9893048128342246,124,CD4-22h-2e11
recall,binary,0.6508692052980133,124,CD4-22h-2e11
precision,binary,0.989281210592686,125,CD4-22h-2e11
recall,binary,0.6494205298013245,125,CD4-22h-2e11
precision,binary,0.989566866898514,126,CD4-22h-2e11
recall,binary,0.6477649006622517,126,CD4-22h-2e11
precision,binary,0.9895470383275261,127,CD4-22h-2e11
recall,binary,0.6465231788079471,127,CD4-22h-2e11
precision,binary,0.9895171537484116,128,CD4-22h-2e11
recall,binary,0.6446605960264901,128,CD4-22h-2e11
precision,binary,0.9895004772510341,129,CD4-22h-2e11
recall,binary,0.6436258278145696,129,CD4-22h-2e11
precision,binary,0.9894770408163265,130,CD4-22h-2e11
recall,binary,0.6421771523178808,130,CD4-22h-2e11
precision,binary,0.9894501278772379,131,CD4-22h-2e11
recall,binary,0.640521523178808,131,CD4-22h-2e11
precision,binary,0.989433237271854,132,CD4-22h-2e11
recall,binary,0.6394867549668874,132,CD4-22h-2e11
precision,binary,0.9894128970163619,133,CD4-22h-2e11
recall,binary,0.6382450331125827,133,CD4-22h-2e11
precision,binary,0.989713918354227,134,CD4-22h-2e11
