.metric,.estimator,.estimate,umi_cutoff,group
sensitivity,binary,0.9216092907507258,57,CD4-6h-2e11
specificity,binary,0.8939632545931758,57,CD4-6h-2e11
precision,binary,0.9169764560099133,58,CD4-6h-2e11
recall,binary,0.9207797594359187,58,CD4-6h-2e11
sensitivity,binary,0.9207797594359187,58,CD4-6h-2e11
specificity,binary,0.8944881889763779,58,CD4-6h-2e11
precision,binary,0.9188069594034797,59,CD4-6h-2e11
recall,binary,0.9199502281211116,59,CD4-6h-2e11
sensitivity,binary,0.9199502281211116,59,CD4-6h-2e11
specificity,binary,0.8971128608923884,59,CD4-6h-2e11
precision,binary,0.9206810631229236,60,CD4-6h-2e11
recall,binary,0.919535462463708,60,CD4-6h-2e11
sensitivity,binary,0.919535462463708,60,CD4-6h-2e11
specificity,binary,0.899737532808399,60,CD4-6h-2e11
precision,binary,0.9213810316139767,61,CD4-6h-2e11
recall,binary,0.9187059311489009,61,CD4-6h-2e11
sensitivity,binary,0.9187059311489009,61,CD4-6h-2e11
specificity,binary,0.9007874015748032,61,CD4-6h-2e11
precision,binary,0.9212827988338192,62,CD4-6h-2e11
recall,binary,0.9174616341766901,62,CD4-6h-2e11
sensitivity,binary,0.9174616341766901,62,CD4-6h-2e11
specificity,binary,0.9007874015748032,62,CD4-6h-2e11
precision,binary,0.9216013344453712,63,CD4-6h-2e11
recall,binary,0.916632102861883,63,CD4-6h-2e11
sensitivity,binary,0.916632102861883,63,CD4-6h-2e11
specificity,binary,0.9013123359580052,63,CD4-6h-2e11
precision,binary,0.9219206680584551,64,CD4-6h-2e11
recall,binary,0.9158025715470759,64,CD4-6h-2e11
sensitivity,binary,0.9158025715470759,64,CD4-6h-2e11
specificity,binary,0.9018372703412073,64,CD4-6h-2e11
precision,binary,0.9226588628762542,65,CD4-6h-2e11
recall,binary,0.9153878058896724,65,CD4-6h-2e11
sensitivity,binary,0.9153878058896724,65,CD4-6h-2e11
specificity,binary,0.9028871391076115,65,CD4-6h-2e11
precision,binary,0.9234309623430962,66,CD4-6h-2e11
recall,binary,0.9153878058896724,66,CD4-6h-2e11
sensitivity,binary,0.9153878058896724,66,CD4-6h-2e11
specificity,binary,0.9039370078740158,66,CD4-6h-2e11
precision,binary,0.9245915374947633,67,CD4-6h-2e11
recall,binary,0.9153878058896724,67,CD4-6h-2e11
sensitivity,binary,0.9153878058896724,67,CD4-6h-2e11
specificity,binary,0.905511811023622,67,CD4-6h-2e11
precision,binary,0.9253042383550147,68,CD4-6h-2e11
recall,binary,0.9145582745748652,68,CD4-6h-2e11
sensitivity,binary,0.9145582745748652,68,CD4-6h-2e11
specificity,binary,0.9065616797900262,68,CD4-6h-2e11
precision,binary,0.9256926952141058,69,CD4-6h-2e11
recall,binary,0.9145582745748652,69,CD4-6h-2e11
sensitivity,binary,0.9145582745748652,69,CD4-6h-2e11
specificity,binary,0.9070866141732283,69,CD4-6h-2e11
precision,binary,0.9264087468460892,70,CD4-6h-2e11
recall,binary,0.913728743260058,70,CD4-6h-2e11
sensitivity,binary,0.913728743260058,70,CD4-6h-2e11
specificity,binary,0.9081364829396326,70,CD4-6h-2e11
precision,binary,0.9271885521885522,71,CD4-6h-2e11
recall,binary,0.913728743260058,71,CD4-6h-2e11
sensitivity,binary,0.913728743260058,71,CD4-6h-2e11
specificity,binary,0.9091863517060368,71,CD4-6h-2e11
precision,binary,0.927487352445194,72,CD4-6h-2e11
recall,binary,0.9124844462878474,72,CD4-6h-2e11
sensitivity,binary,0.9124844462878474,72,CD4-6h-2e11
specificity,binary,0.9097112860892388,72,CD4-6h-2e11
precision,binary,0.9282094594594594,73,CD4-6h-2e11
recall,binary,0.9116549149730402,73,CD4-6h-2e11
sensitivity,binary,0.9116549149730402,73,CD4-6h-2e11
specificity,binary,0.910761154855643,73,CD4-6h-2e11
precision,binary,0.9289340101522843,74,CD4-6h-2e11
recall,binary,0.9108253836582331,74,CD4-6h-2e11
sensitivity,binary,0.9108253836582331,74,CD4-6h-2e11
specificity,binary,0.9118110236220472,74,CD4-6h-2e11
precision,binary,0.9300551080966512,75,CD4-6h-2e11
recall,binary,0.909995852343426,75,CD4-6h-2e11
sensitivity,binary,0.909995852343426,75,CD4-6h-2e11
specificity,binary,0.9133858267716536,75,CD4-6h-2e11
precision,binary,0.9300254452926209,76,CD4-6h-2e11
recall,binary,0.9095810866860224,76,CD4-6h-2e11
sensitivity,binary,0.9095810866860224,76,CD4-6h-2e11
specificity,binary,0.9133858267716536,76,CD4-6h-2e11
precision,binary,0.9311224489795918,77,CD4-6h-2e11
recall,binary,0.9083367897138117,77,CD4-6h-2e11
sensitivity,binary,0.9083367897138117,77,CD4-6h-2e11
specificity,binary,0.9149606299212598,77,CD4-6h-2e11
precision,binary,0.9322539412015338,78,CD4-6h-2e11
recall,binary,0.9075072583990046,78,CD4-6h-2e11
sensitivity,binary,0.9075072583990046,78,CD4-6h-2e11
specificity,binary,0.9165354330708662,78,CD4-6h-2e11
precision,binary,0.9334186939820742,79,CD4-6h-2e11
recall,binary,0.907092492741601,79,CD4-6h-2e11
sensitivity,binary,0.907092492741601,79,CD4-6h-2e11
specificity,binary,0.9181102362204724,79,CD4-6h-2e11
precision,binary,0.9334186939820742,80,CD4-6h-2e11
recall,binary,0.907092492741601,80,CD4-6h-2e11
sensitivity,binary,0.907092492741601,80,CD4-6h-2e11
specificity,binary,0.9181102362204724,80,CD4-6h-2e11
precision,binary,0.9338172502134927,81,CD4-6h-2e11
recall,binary,0.907092492741601,81,CD4-6h-2e11
sensitivity,binary,0.907092492741601,81,CD4-6h-2e11
specificity,binary,0.9186351706036745,81,CD4-6h-2e11
precision,binary,0.9337606837606838,82,CD4-6h-2e11
recall,binary,0.9062629614267939,82,CD4-6h-2e11
