.metric,.estimator,.estimate,umi_cutoff,group
specificity,binary,0.9868766404199475,71,500
precision,binary,0.9471458773784355,72,500
recall,binary,0.5933774834437087,72,500
sensitivity,binary,0.5933774834437087,72,500
specificity,binary,0.9868766404199475,72,500
precision,binary,0.9468085106382979,73,500
recall,binary,0.5894039735099338,73,500
sensitivity,binary,0.5894039735099338,73,500
specificity,binary,0.9868766404199475,73,500
precision,binary,0.9464668094218416,74,500
recall,binary,0.5854304635761589,74,500
sensitivity,binary,0.5854304635761589,74,500
specificity,binary,0.9868766404199475,74,500
precision,binary,0.9463519313304721,75,500
recall,binary,0.5841059602649007,75,500
sensitivity,binary,0.5841059602649007,75,500
specificity,binary,0.9868766404199475,75,500
precision,binary,0.9460043196544277,76,500
recall,binary,0.5801324503311258,76,500
sensitivity,binary,0.5801324503311258,76,500
specificity,binary,0.9868766404199475,76,500
precision,binary,0.9498910675381264,77,500
recall,binary,0.5774834437086093,77,500
sensitivity,binary,0.5774834437086093,77,500
specificity,binary,0.9879265091863517,77,500
precision,binary,0.9495614035087719,78,500
recall,binary,0.5735099337748344,78,500
sensitivity,binary,0.5735099337748344,78,500
specificity,binary,0.9879265091863517,78,500
precision,binary,0.9516483516483516,79,500
recall,binary,0.5735099337748344,79,500
sensitivity,binary,0.5735099337748344,79,500
specificity,binary,0.9884514435695538,79,500
precision,binary,0.9513274336283186,80,500
recall,binary,0.5695364238410596,80,500
sensitivity,binary,0.5695364238410596,80,500
specificity,binary,0.9884514435695538,80,500
precision,binary,0.9508928571428571,81,500
recall,binary,0.5642384105960265,81,500
sensitivity,binary,0.5642384105960265,81,500
specificity,binary,0.9884514435695538,81,500
precision,binary,0.950561797752809,82,500
recall,binary,0.5602649006622517,82,500
sensitivity,binary,0.5602649006622517,82,500
specificity,binary,0.9884514435695538,82,500
precision,binary,0.9502262443438914,83,500
recall,binary,0.5562913907284768,83,500
sensitivity,binary,0.5562913907284768,83,500
specificity,binary,0.9884514435695538,83,500
precision,binary,0.95,84,500
recall,binary,0.5536423841059602,84,500
sensitivity,binary,0.5536423841059602,84,500
specificity,binary,0.9884514435695538,84,500
precision,binary,0.95,85,500
recall,binary,0.5536423841059602,85,500
sensitivity,binary,0.5536423841059602,85,500
specificity,binary,0.9884514435695538,85,500
precision,binary,0.9496567505720824,86,500
recall,binary,0.5496688741721855,86,500
sensitivity,binary,0.5496688741721855,86,500
specificity,binary,0.9884514435695538,86,500
precision,binary,0.9495412844036697,87,500
recall,binary,0.5483443708609271,87,500
sensitivity,binary,0.5483443708609271,87,500
specificity,binary,0.9884514435695538,87,500
precision,binary,0.9493087557603687,88,500
recall,binary,0.5456953642384106,88,500
sensitivity,binary,0.5456953642384106,88,500
specificity,binary,0.9884514435695538,88,500
precision,binary,0.9491916859122402,89,500
recall,binary,0.5443708609271524,89,500
sensitivity,binary,0.5443708609271524,89,500
specificity,binary,0.9884514435695538,89,500
precision,binary,0.9511627906976744,90,500
recall,binary,0.5417218543046357,90,500
sensitivity,binary,0.5417218543046357,90,500
specificity,binary,0.988976377952756,90,500
precision,binary,0.9508196721311475,91,500
recall,binary,0.5377483443708609,91,500
sensitivity,binary,0.5377483443708609,91,500
specificity,binary,0.988976377952756,91,500
precision,binary,0.9528301886792453,92,500
recall,binary,0.5350993377483444,92,500
sensitivity,binary,0.5350993377483444,92,500
specificity,binary,0.989501312335958,92,500
precision,binary,0.9524940617577197,93,500
recall,binary,0.5311258278145695,93,500
sensitivity,binary,0.5311258278145695,93,500
specificity,binary,0.989501312335958,93,500
precision,binary,0.9524940617577197,94,500
recall,binary,0.5311258278145695,94,500
sensitivity,binary,0.5311258278145695,94,500
specificity,binary,0.989501312335958,94,500
precision,binary,0.9545454545454546,95,500
recall,binary,0.528476821192053,95,500
sensitivity,binary,0.528476821192053,95,500
specificity,binary,0.9900262467191601,95,500
precision,binary,0.9567307692307693,96,500
recall,binary,0.5271523178807948,96,500
sensitivity,binary,0.5271523178807948,96,500
specificity,binary,0.9905511811023622,96,500
precision,binary,0.9564164648910412,97,500
recall,binary,0.5231788079470199,97,500
sensitivity,binary,0.5231788079470199,97,500
specificity,binary,0.9905511811023622,97,500
precision,binary,0.9560975609756097,98,500
recall,binary,0.519205298013245,98,500
sensitivity,binary,0.519205298013245,98,500
specificity,binary,0.9905511811023622,98,500
precision,binary,0.9607843137254902,99,500
recall,binary,0.519205298013245,99,500
sensitivity,binary,0.519205298013245,99,500
specificity,binary,0.9916010498687664,99,500
precision,binary,0.9602977667493796,100,500
recall,binary,0.5125827814569537,100,500
sensitivity,binary,0.5125827814569537,100,500
specificity,binary,0.9916010498687664,100,500
precision,binary,0.9601990049751243,101,500
recall,binary,0.5112582781456954,101,500
sensitivity,binary,0.5112582781456954,101,500
specificity,binary,0.9916010498687664,101,500
precision,binary,0.9600997506234414,102,500
recall,binary,0.5099337748344371,102,500
sensitivity,binary,0.5099337748344371,102,500
specificity,binary,0.9916010498687664,102,500
precision,binary,0.9595959595959596,103,500
recall,binary,0.5033112582781457,103,500
sensitivity,binary,0.5033112582781457,103,500
specificity,binary,0.9916010498687664,103,500
precision,binary,0.9591836734693877,104,500
recall,binary,0.49801324503311256,104,500
sensitivity,binary,0.49801324503311256,104,500
specificity,binary,0.9916010498687664,104,500
precision,binary,0.9612403100775194,105,500
recall,binary,0.49271523178807947,105,500
sensitivity,binary,0.49271523178807947,105,500
specificity,binary,0.9921259842519685,105,500
precision,binary,0.961139896373057,106,500
recall,binary,0.4913907284768212,106,500
sensitivity,binary,0.4913907284768212,106,500
specificity,binary,0.9921259842519685,106,500
precision,binary,0.9608355091383812,107,500
