conditions,genes,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
6h-6e10,Ncapd2,3.272344898169485e-6,0.2862453233868725,0.569,0.491,0.045128908490655366
6h-6e10,Gimap9,3.353442008359202e-6,0.2847811133275022,0.561,0.492,0.04624731873728175
6h-6e10,Nomo1,3.5070357602401543e-6,-0.3935209087092346,0.252,0.323,0.04836553016947197
6h-6e10,Rpl11,3.543434303794356e-6,0.08204409914179767,1,1,0.048867502483627964
6h-6e10,Mdn1,3.5736466451381215e-6,-0.24864079339353212,0.465,0.546,0.04928416088309984
6h-6e10,Ube2m,3.6833636780065682e-6,-0.22120785527764986,0.688,0.738,0.050797268483388586
6h-6e10,Tmem50a,3.7184638826272776e-6,0.22482595395860971,0.659,0.591,0.05128133540531279
6h-6e10,Aqp3,3.745870890215004e-6,0.8070476814027798,0.094,0.053,0.05165930544695512
6h-6e10,Jarid2,3.819072560783571e-6,-0.21966617296397042,0.605,0.683,0.05266882968576622
6h-6e10,Mrps7,3.8905207911878406e-6,-0.29709634134547896,0.471,0.536,0.05365417223127151
6h-6e10,Hsp90aa1,3.985519355827894e-6,-0.07159508670202497,0.997,0.996,0.054964297436222484
6h-6e10,Cct5,4.029303956800898e-6,-0.1306461161384953,0.938,0.959,0.05556813086824118
6h-6e10,Itm2b,4.0690610438649595e-6,0.1932920402183682,0.819,0.773,0.05611642085594166
6h-6e10,Timm10,4.114736550740942e-6,-0.2242674947850496,0.392,0.476,0.056746331771268324
6h-6e10,Cast,4.638188929490041e-6,0.2533203213944794,0.637,0.576,0.06396526352659715
6h-6e10,Rrp1b,4.719827542761143e-6,-0.30955358294588564,0.467,0.533,0.06509114164221892
6h-6e10,Gosr2,4.831856721574991e-6,-0.4238368622848119,0.266,0.334,0.0666361360472407
6h-6e10,Pip4k2a,4.844070373722012e-6,0.25077026321241086,0.608,0.539,0.06680457452400027
6h-6e10,Mrpl17,5.292075869071898e-6,-0.1922084610108571,0.687,0.739,0.07298301831037055
